Threshold,precision_0,recall_0,f-score_0,Precision,Recall,F1.Score,accuracy,MCC,Algorithm
0.09,0.966740907,0.956809786,0.961679347,0.732798689,0.777779967,0.752842124,0.93367963,0.71627539,GRU
0.1,0.96617593,0.958479061,0.962254035,0.738904575,0.773554614,0.754293168,0.934588391,0.717928107,GRU
0.11,0.965720511,0.960356778,0.962990298,0.745967874,0.770038412,0.756620822,0.935769466,0.720584942,GRU
0.12,0.965508874,0.963068698,0.964255915,0.758000684,0.767930661,0.761956195,0.937858806,0.726915558,GRU
0.13,0.965442911,0.964216161,0.964802384,0.763387092,0.767226436,0.764428039,0.938767236,0.729837994,GRU
0.14,0.964997128,0.96588511,0.965416167,0.771038107,0.763720083,0.766522216,0.939766658,0.732525687,GRU
0.15,0.964726163,0.96671953,0.965697754,0.77486205,0.761612331,0.767334694,0.940220708,0.733646908,GRU
0.16,0.964459745,0.967658552,0.966032534,0.779341847,0.75950458,0.768441786,0.940765833,0.735140195,GRU
0.17,0.964190761,0.968597138,0.966369176,0.78351216,0.757396829,0.769497551,0.941310709,0.736511905,GRU
0.18,0.964007822,0.96911895,0.966538801,0.785856313,0.755988378,0.769956072,0.941583189,0.73714483,GRU
0.19,0.9637298,0.969640435,0.966656093,0.788474392,0.753875702,0.770015048,0.941764924,0.737449549,GRU
0.2,0.963656689,0.970475073,0.967036268,0.792836045,0.753171476,0.771789793,0.942400793,0.739637852,GRU
0.21,0.963278381,0.97110116,0.967158222,0.795575807,0.750354575,0.771661738,0.942582281,0.739690699,GRU
0.22,0.96319571,0.971622537,0.967378278,0.798027611,0.749655274,0.772556209,0.942945587,0.740792114,GRU
0.23,0.96302646,0.972457283,0.967705083,0.802816942,0.748246824,0.77397586,0.943490793,0.742717026,GRU
0.24,0.962444621,0.972874493,0.967617556,0.804428205,0.744026396,0.772444874,0.94330914,0.741248689,GRU
0.25,0.962455968,0.973187428,0.967778473,0.806202615,0.744026396,0.773282584,0.94358162,0.742280495,GRU
0.26,0.961882347,0.973813188,0.967799577,0.808826905,0.739801044,0.772253498,0.943581537,0.741422882,GRU
0.27,0.961697509,0.974230398,0.967913686,0.810869127,0.738397518,0.772487857,0.943763273,0.741828226,GRU
0.28,0.961606795,0.974439058,0.967970568,0.81197745,0.737693293,0.772599908,0.943854182,0.742056959,GRU
0.29,0.961522087,0.974856268,0.968134057,0.814348317,0.736989067,0.773304951,0.944126662,0.743009765,GRU
0.3,0.961346262,0.975482028,0.968353611,0.817966858,0.735580617,0.774152591,0.944489885,0.74424548,GRU
0.31,0.961172829,0.976108007,0.968574784,0.821374201,0.734177091,0.774929257,0.944853356,0.745392332,GRU
0.32,0.960792296,0.976525325,0.968587503,0.823404204,0.731370038,0.774288926,0.944853522,0.744931244,GRU
0.33,0.960512853,0.976942427,0.968650256,0.825666833,0.729262287,0.774079886,0.944944183,0.744972737,GRU
0.34,0.960426435,0.977255579,0.968759869,0.827580057,0.728558062,0.774504994,0.945126001,0.745624871,GRU
0.35,0.960344171,0.977672898,0.96892381,0.829938232,0.727853836,0.775176075,0.945398481,0.746563323,GRU
0.36,0.960262763,0.978090217,0.969087127,0.832461615,0.727149611,0.775865344,0.945671043,0.747560191,GRU
0.37,0.960167927,0.978194601,0.969089902,0.833075623,0.726445386,0.775719591,0.945671125,0.74748259,GRU
0.38,0.960081452,0.978507753,0.9692004,0.834804698,0.72574116,0.77610972,0.945852861,0.748064472,GRU
0.39,0.95999523,0.978820797,0.969310005,0.836712381,0.725036935,0.776532393,0.946034679,0.748714237,GRU
0.4,0.959520877,0.979238116,0.969273221,0.838662798,0.721515808,0.775373767,0.945943935,0.747765147,GRU
0.41,0.959337836,0.97955105,0.969332834,0.840478633,0.720112282,0.775321821,0.946034844,0.747941393,GRU
0.42,0.959337836,0.97955105,0.969332834,0.840478633,0.720112282,0.775321821,0.946034844,0.747941393,GRU
0.43,0.959248884,0.979759819,0.969389247,0.841767046,0.719408057,0.775440132,0.946125753,0.748229207,GRU
0.44,0.959150595,0.979759819,0.969339006,0.84166374,0.718703831,0.774984439,0.946034844,0.747757298,GRU
0.45,0.959154564,0.979864094,0.969392124,0.842356796,0.718703831,0.775281752,0.946125671,0.748139843,GRU
0.46,0.959154564,0.979864094,0.969392124,0.842356796,0.718703831,0.775281752,0.946125671,0.748139843,GRU
0.47,0.958975516,0.980281413,0.969503815,0.845118962,0.717300305,0.775571407,0.946307489,0.748792936,GRU
0.48,0.95868928,0.980490072,0.969460804,0.845942736,0.715192554,0.7747453,0.946216663,0.748045918,GRU
0.49,0.958403391,0.980698623,0.969416902,0.846951503,0.713084803,0.773948777,0.946125753,0.747367441,GRU
0.5,0.957918674,0.980802898,0.969220135,0.846993628,0.709563676,0.771902303,0.945762282,0.745325579,GRU
0.51,0.957927076,0.981011557,0.969326255,0.84844173,0.709563676,0.772500926,0.945944018,0.746111475,GRU
0.52,0.957948363,0.981533043,0.969591879,0.851975727,0.709563676,0.773976476,0.94639815,0.748041965,GRU
0.53,0.957664712,0.981741702,0.969548165,0.85305267,0.707455924,0.773154013,0.946307159,0.747375737,GRU
0.54,0.957567248,0.981741702,0.969498295,0.852908042,0.706756624,0.772681608,0.946216332,0.746886821,GRU
0.55,0.957474226,0.981845977,0.969500986,0.853623208,0.706052398,0.772524736,0.946216332,0.746836706,GRU
0.56,0.957382108,0.981950253,0.969504043,0.854295383,0.705348173,0.772344922,0.946216332,0.746765192,GRU
0.57,0.957289682,0.982054528,0.969507489,0.854853727,0.704643948,0.772151861,0.946216332,0.746654032,GRU
